Wavelength (nm),Absorbance (AU)
900.025463,1.276423
905.273967,1.352911
910.514738,1.339751
915.747775,1.364767
920.973079,1.377003
926.190650,1.391603
931.400488,1.399484
936.602593,1.395361
941.796964,1.406347
946.983603,1.417727
952.162508,1.422307
956.041612,1.435905
961.206984,1.431355
966.364623,1.452710
971.514529,1.453496
976.656701,1.449980
981.791141,1.471077
986.917847,1.468297
992.036820,1.470290
997.148060,1.469298
1002.251567,1.468854
1007.347340,1.493889
1011.164096,1.475848
1016.246336,1.479806
1021.320844,1.470061
1026.387618,1.463178
1031.446659,1.460283
1036.497966,1.462007
1041.541541,1.461836
1046.577383,1.454224
1051.605491,1.457830
1056.625866,1.463047
1060.386072,1.451661
1065.392914,1.451112
1070.392023,1.455311
1075.383399,1.447252
1080.367042,1.451181
1085.342951,1.445418
1090.311127,1.444573
1095.271570,1.435925
1100.224280,1.442052
1105.169257,1.433517
1110.106500,1.434946
1113.804358,1.430938
1118.728068,1.432127
1123.644046,1.440671
1128.552290,1.434374
1133.452801,1.445463
1138.345578,1.443767
1143.230623,1.465818
1148.107934,1.475195
1152.977513,1.498922
1157.839358,1.501811
1162.693470,1.508533
1166.328979,1.513346
1171.169557,1.517474
1176.002403,1.509817
1180.827515,1.512874
1185.644895,1.517643
1190.454541,1.516796
1195.256454,1.536879
1200.050634,1.534844
1204.837080,1.535721
1209.615794,1.548892
1213.194754,1.529899
1217.959934,1.529762
1222.717381,1.536617
1227.467095,1.521028
1232.209076,1.512757
1236.943324,1.518381
1241.669838,1.498767
1246.388620,1.498820
1251.099668,1.495651
1255.802983,1.498517
1260.498565,1.493816
1264.015176,1.490777
1268.697225,1.497481
1273.371541,1.493300
1278.038123,1.507135
1282.696972,1.503598
1287.348088,1.504618
1291.991471,1.511598
1296.627121,1.513340
1301.255037,1.516216
1305.875221,1.529964
1310.487671,1.523355
1313.941934,1.531157
1318.540851,1.552916
1323.132035,1.549729
1327.715486,1.561478
1332.291203,1.572364
1336.859188,1.572274
1341.419439,1.581148
1345.971957,1.607297
1350.516742,1.597486
1355.053794,1.605326
1358.451508,1.622869
1362.975026,1.620940
1367.490812,1.630780
1371.998864,1.648358
1376.499183,1.648525
1380.991769,1.669973
1385.476622,1.677233
1389.953742,1.697342
1394.423128,1.720732
1398.884781,1.773998
1403.338702,1.767032
1406.674067,1.783638
1411.114454,1.799249
1415.547108,1.800163
1419.972028,1.803451
1424.389216,1.813209
1428.798670,1.812954
1433.200392,1.814468
1437.594380,1.839959
1441.980634,1.829005
1446.359156,1.826396
1450.729945,1.836489
1454.002961,1.824706
1458.360217,1.824876
1462.709739,1.842870
1467.051528,1.819530
1471.385584,1.826335
1475.711907,1.853265
1480.030496,1.817502
1484.341353,1.819681
1488.644476,1.838018
1492.939866,1.805590
1496.156333,1.807653
1500.438190,1.835852
1504.712314,1.801646
1508.978705,1.805827
1513.237362,1.807956
1517.488287,1.783730
1521.731478,1.784146
1525.966936,1.769828
1530.194661,1.780348
1534.414652,1.769758
1538.626911,1.767453
1541.781030,1.772376
1545.979755,1.761686
1550.170747,1.789300
1554.354006,1.759265
1558.529532,1.766663
1562.697325,1.753176
1566.857384,1.760699
1571.009711,1.746386
1575.154304,1.762033
1579.291164,1.743253
1583.420291,1.745294
1586.512061,1.773436
1590.627655,1.735889
1594.735515,1.740081
1598.835643,1.725448
1602.928037,1.726619
1607.012698,1.717411
1611.089626,1.761691
1615.158820,1.725748
1619.220282,1.729693
1623.274010,1.699048
1626.309232,1.722259
1630.349427,1.710746
1634.381889,1.703265
1638.406618,1.709573
1642.423614,1.704868
1646.432877,1.705595
1650.434406,1.710112
1654.428202,1.706009
1658.414265,1.714297
1662.392595,1.726462
1666.363192,1.705090
1669.336065,1.704031
1673.293128,1.674771
1677.242459,1.655730
1681.184056,1.644770
1685.117920,1.576985
1689.044051,1.578306
1692.962449,1.623888
1696.873114,1.639078
1700.776045,1.652641
900.025463,2.856332
905.273967,2.804202
910.514738,2.720677
915.747775,2.682926
920.973079,2.638863
926.190650,2.571832
931.400488,2.521708
936.602593,2.485478
941.796964,2.430436
946.983603,2.393061
952.162508,2.374668
956.041612,2.367335
961.206984,2.324937
966.364623,2.302237
971.514529,2.286207
976.656701,2.270593
981.791141,2.253718
986.917847,2.243389
992.036820,2.222997
997.148060,2.208487
1002.251567,2.212310
1007.347340,2.211026
1011.164096,2.177788
1016.246336,2.173022
1021.320844,2.175943
1026.387618,2.182504
1031.446659,2.187040
1036.497966,2.170028
1041.541541,2.165533
1046.577383,2.167864
1051.605491,2.166926
1056.625866,2.165896
1060.386072,2.168301
1065.392914,2.165822
1070.392023,2.159222
1075.383399,2.153518
1080.367042,2.152756
1085.342951,2.149628
1090.311127,2.135790
1095.271570,2.127574
1100.224280,2.125932
1105.169257,2.119933
1110.106500,2.099755
1113.804358,2.094464
1118.728068,2.087885
1123.644046,2.087803
1128.552290,2.087768
1133.452801,2.087327
1138.345578,2.093282
1143.230623,2.098934
1148.107934,2.116100
1152.977513,2.131114
1157.839358,2.108484
1162.693470,2.101772
1166.328979,2.104669
1171.169557,2.113123
1176.002403,2.113610
1180.827515,2.080251
1185.644895,2.073277
1190.454541,2.068884
1195.256454,2.056217
1200.050634,2.047189
1204.837080,2.049817
1209.615794,2.034177
1213.194754,2.016138
1217.959934,1.994171
1222.717381,1.976436
1227.467095,1.967613
1232.209076,1.942494
1236.943324,1.918483
1241.669838,1.894112
1246.388620,1.878963
1251.099668,1.877553
1255.802983,1.856339
1260.498565,1.835641
1264.015176,1.830191
1268.697225,1.822297
1273.371541,1.797889
1278.038123,1.782977
1282.696972,1.772956
1287.348088,1.761625
1291.991471,1.755373
1296.627121,1.756299
1301.255037,1.745499
1305.875221,1.737931
1310.487671,1.732388
1313.941934,1.734474
1318.540851,1.745544
1323.132035,1.741462
1327.715486,1.738933
1332.291203,1.738645
1336.859188,1.744228
1341.419439,1.758885
1345.971957,1.758398
1350.516742,1.756743
1355.053794,1.766086
1358.451508,1.777225
1362.975026,1.764312
1367.490812,1.765063
1371.998864,1.774776
1376.499183,1.781675
1380.991769,1.798788
1385.476622,1.822430
1389.953742,1.837137
1394.423128,1.851356
1398.884781,1.863790
1403.338702,1.884029
1406.674067,1.899377
1411.114454,1.902466
1415.547108,1.904932
1419.972028,1.899990
1424.389216,1.915635
1428.798670,1.918481
1433.200392,1.905702
1437.594380,1.900838
1441.980634,1.899465
1446.359156,1.910731
1450.729945,1.889044
1454.002961,1.876345
1458.360217,1.873164
1462.709739,1.874251
1467.051528,1.883218
1471.385584,1.853360
1475.711907,1.839478
1480.030496,1.838169
1484.341353,1.819898
1488.644476,1.818704
1492.939866,1.837740
1496.156333,1.819940
1500.438190,1.801366
1504.712314,1.784529
1508.978705,1.779797
1513.237362,1.792110
1517.488287,1.775147
1521.731478,1.757729
1525.966936,1.748081
1530.194661,1.744586
1534.414652,1.734929
1538.626911,1.718241
1541.781030,1.710581
1545.979755,1.710719
1550.170747,1.710956
1554.354006,1.677251
1558.529532,1.667400
1562.697325,1.660014
1566.857384,1.643800
1571.009711,1.639529
1575.154304,1.647729
1579.291164,1.628103
1583.420291,1.611247
1586.512061,1.589806
1590.627655,1.586239
1594.735515,1.604707
1598.835643,1.582394
1602.928037,1.565732
1607.012698,1.553730
1611.089626,1.550837
1615.158820,1.552444
1619.220282,1.536705
1623.274010,1.527875
1626.309232,1.514119
1630.349427,1.506685
1634.381889,1.520471
1638.406618,1.504668
1642.423614,1.488757
1646.432877,1.468462
1650.434406,1.457944
1654.428202,1.473035
1658.414265,1.451522
1662.392595,1.436961
1666.363192,1.413932
1669.336065,1.404895
1673.293128,1.466803
1677.242459,1.479641
1681.184056,1.475988
1685.117920,1.488389
1689.044051,1.513225
1692.962449,1.583740
1696.873114,1.615360
1700.776045,1.620688
